CPU Usage (%),Memory Usage (%),Total Disk IO (bytes/s),Total Network IO (bytes/s),Network Latency to www.baidu.com (ms),status
83.13445770281999,81.06551788176064,88878875.24410559,3604.8642661216263,166.89538955688477,3
83.13445770281999,81.06551788176064,93739294.690729,3802.7251506265,456.3741683959961,2
95.36450343493672,78.2517991560335,102611147.10858542,3779.72079233675,133.62956047058103,2
95.36450343493672,78.2517991560335,107624075.72542287,3964.155351345721,165.27223587036133,2
95.36450343493672,78.2517991560335,112362767.659104,4138.491344568509,106.22096061706544,2
95.36450343493672,78.2517991560335,117223834.02666669,4316.845046759993,205.8956623077393,2
73.82460820273378,76.33518456514578,118391941.86688286,4655.3057936000005,80.11007308959961,3
73.82460820273378,76.33518456514578,122841099.51162596,4830.124439466666,242.16437339782715,3
73.82460820273378,76.33518456514578,127511999.73994952,5013.6615184444445,130.57327270507812,3
73.82460820273378,76.33518456514578,132205789.52528782,5198.829788133333,93.25885772705078,3
73.82460820273378,76.33518456514578,136911024.0891335,5384.2792976,128.4945011138916,3
63.49999999999984,86.85141933043879,131613300.99017955,5769.907,146.35205268859863,3
63.49999999999984,86.85141933043879,137413943.77883497,6024.249163111112,391.2701606750488,3
63.49999999999984,86.85141933043879,145002774.63779557,6356.92218488889,321.9923973083496,3
63.49999999999984,86.85141933043879,163497279.29072338,6207.843015291277,231.9505214691162,3
99.93355040202012,91.37977543930045,168668110.6052985,6404.540882128023,1350.0535488128662,2
99.93355040202012,91.37977543930045,176182994.1306019,6689.681242531264,180.5896759033203,2
99.93355040202012,91.37977543930045,181020410.47395408,6873.665844891432,278.46717834472656,2
94.1141060798609,74.40813222593793,196020344.0232675,7014.374595555555,162.49513626098633,2
94.1141060798609,74.40813222593793,200935073.8395591,7190.123815111112,375.7152557373047,2
94.1141060798609,74.40813222593793,206158694.5777209,7377.582353777778,184.75580215454104,2
94.1141060798609,74.40813222593793,211169761.66172445,7556.395694222223,541.5711402893066,2
94.1141060798609,74.40813222593793,216772614.818816,7757.095612444445,1510.141134262085,2
79.53878965609213,75.88947915635883,214723113.12405145,8538.538258553657,947.0396041870116,2
31.700751704251857,72.6842770910402,224680959.7776832,26775.348858747908,99.75099563598631,3
31.700751704251857,72.6842770910402,227363713.5975395,27098.07279630821,164.34836387634277,3
31.700751704251857,72.6842770910402,230050559.4763036,27416.407922387632,519.3941593170166,3
59.933333333333394,86.75707293003862,230703059.022716,26877.774063208548,414.1817092895508,3
59.933333333333394,86.75707293003862,243228827.70983493,28336.2765650116,229.95281219482425,3
59.933333333333394,86.75707293003862,243228827.70983493,28336.2765650116,142.58527755737305,3
59.933333333333394,86.75707293003862,243228827.70983493,28336.276565011587,101.6075611114502,3
81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,179.79931831359863,2
81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,1183.9118003845217,2
81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,150.32720565795898,2
81.66666666666666,78.85081746547071,258865847.59191296,27652.730896357163,126.73687934875488,2
81.66666666666666,78.85081746547071,258865847.59191296,27652.73089635717,116.9114112854004,2
81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,175.70233345031738,2
81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,157.8221321105957,2
81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,152.88043022155762,2
81.19999999999966,73.4711748702398,266030354.93345216,27545.02198376745,311.9356632232666,2
91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,150.0718593597412,2
91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,136.45005226135254,2
91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,101.31955146789552,2
91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,95.18885612487792,2
91.41030763084323,89.53392064871284,260290423.648708,27273.296959702464,109.51876640319824,2
62.42157255373117,72.397984565688,252703147.29846376,27025.06438912789,175.7054328918457,3
62.42157255373117,72.397984565688,252703147.2984637,27025.06438912789,94.41804885864258,2
62.42157255373117,72.397984565688,252703147.29846376,27025.06438912789,181.05602264404297,2
62.42157255373117,72.397984565688,252703147.29846376,27025.06438912789,208.23955535888672,2
78.30578512396697,81.0275624333238,242591505.84743,26991.03148454194,148.06270599365234,2
78.30578512396697,81.0275624333238,242591505.84743,26991.03148454194,181.11276626586917,2
